gene,description,fpkm_ip_ob,fpkm_ip_mcx,fpkm_ip_scx,fpkm_ip_vcx,fpkm_ip_hip,fpkm_ip_str,fpkm_ip_th,fpkm_ip_hy,fpkm_ip_cb,fpkm_ip_mb,fpkm_ip_hb,fpkm_ip_vsc,fpkm_ip_dsc,avg_log2_ratio
Kcnj10,"potassium inwardly-rectifying channel, subfamily J, member 10 [Source:MGI Symbol;Acc:MGI:1194504]",327.257883827893,245.19023335701922,324.02569264778424,203.83981428597372,167.53092515525978,125.67086322150149,557.4875662831968,392.4889214422942,185.17465635406,418.36808768591897,469.1359689234513,659.1658219505496,634.58284753073394,4.05910278202162
Slc1a2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:MGI Symbol;Acc:MGI:101931]",1315.7903232339597,4720.072768446123,4907.785477771358,4805.43199132206,4218.930377064069,3147.4519216452727,1990.22688395335,1619.57359822486,968.9566335719452,1958.0497463522074,2058.4722490345725,2250.989929816055,2406.806559758445,3.967917074896862
Acsbg1,acyl-CoA synthetase bubblegum family member 1 [Source:MGI Symbol;Acc:MGI:2385656],722.1621520440938,720.6510986553105,816.6493869108143,682.0964928616945,702.4321181152791,876.5151943323253,870.5216907374082,741.3676426959707,1031.264955396733,890.6411986031201,1032.317093063023,965.0025901688417,901.3924348093301,3.684390111021265
Slc6a11,"solute carrier family 6 (neurotransmitter transporter, GABA), member 11 [Source:MGI Symbol;Acc:MGI:95630]",1256.1573270217427,292.87323558638525,321.45270313563526,266.1887585236527,313.22042940048016,318.56692179075253,1470.9712574670102,1578.377066729455,82.78134958980836,1480.072859491225,901.1577730899515,639.9225816743723,790.3825696872709,3.6649571721041934
Slc4a4,"solute carrier family 4 (anion exchanger), member 4 [Source:MGI Symbol;Acc:MGI:1927555]",428.5344399051373,294.0905767027907,345.0088556270167,286.94511081635073,375.2826505097897,280.8974704121198,604.3745841018365,582.7724506521578,668.3693588510685,640.4560942240146,568.3030337875177,548.6470863654525,610.442744718931,3.6643097233774764
Atp1a2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:MGI Symbol;Acc:MGI:88106]",1160.2589720977649,1852.3436634432448,2067.3976597171804,1791.9180126193226,1738.2513963023325,1757.3236916022051,2519.2767141761574,1988.7604631926051,1622.745377530634,2464.9754886644723,3068.404485609505,3257.945202577555,2811.2999041368953,3.657708702004797
Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide [Source:MGI Symbol;Acc:MGI:88109]",93.53909795151962,180.18486443512376,222.97341017316975,169.91999919966275,170.28069683331623,136.86515824517323,271.43390342946145,203.88598635303498,225.86190211941638,341.3933428149952,383.6170511221337,550.2916839627053,439.342976186765,3.6560795645775856
Slc1a3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3 [Source:MGI Symbol;Acc:MGI:99917]",1699.5120418494873,1794.513193719365,1545.9344574203726,1810.78966512759,1955.2991323905928,1544.1507093435725,980.8957216049807,1703.2834187881174,3312.672884221426,690.2857299967993,459.92871480118424,188.5928787765905,251.65486364863523,3.6344387633509143
Gja1,"gap junction protein, alpha 1 [Source:MGI Symbol;Acc:MGI:95713]",466.2392885931115,571.7894161101719,539.6958284700734,560.1188532707885,785.2369785002434,533.7393013890622,766.8518022266124,670.5156641087294,547.7999111815368,707.75304563024,682.3107129809968,681.818909577868,838.7521044554903,3.6092322917522797
Slc39a12,"solute carrier family 39 (zinc transporter), member 12 [Source:MGI Symbol;Acc:MGI:2139274]",193.4253913569375,267.31214015636624,305.23370827193446,250.05105253397772,263.632562859998,248.832616074805,444.1129464167118,364.700636448622,219.85036367129678,370.61667463001424,428.22749722127196,475.990913039074,479.1160322298563,3.6064104909403736
