gene_name,log_fc,ave_expr,t,p_value,adj_p_val,b
TNF,7.89395256,5.893601891,7.616612487,4.54e-8,1.65e-7,8.656868516
HSPA6,6.873314286,5.820177319,5.787846135,4.35e-6,1.04e-5,4.12955551
DOCK4-AS1,6.851674888,1.53954322699999,3.968492913,5.11321999999999e-4,8.66072e-4,-0.17428953
CAPNS2,6.84647871799999,1.397438379,6.56024999,6.05e-7,1.72e-6,6.13164267799999
LINC00854,6.67253826,2.664994494,6.772466021,3.56e-7,1.06e-6,6.676155446
FCGR1CP,6.61718852,4.087217387,7.029997354,1.88e-7,5.97999999999999e-7,7.29053814
TLR1,6.44833095399999,6.223716357,12.93911276,8.39e-13,1e-11,19.29861778
PARP15,6.39990612299999,3.62253051,7.814320056,2.84e-8,1.08e-7,9.116161957
LOC100419170,6.285472979,3.60688902399999,3.78039495,8.32188e-4,0.001362648,-0.791330008
PTCRA,6.19180146,1.629719595,3.333572175,0.002593911,0.003915373,-1.711672489
ANKRD22,6.180246309,4.77705018,4.650662247,8.55e-5,1.63314e-4,1.263103753
FAM157A,6.164369582,0.748107802,5.535766276,8.37e-6,1.9e-5,3.680198478
TCTEX1D4,6.14335485799999,3.22948307,4.371668362,1.78148e-4,3.24427e-4,0.697246339
CLEC7A,6.082221487,7.077370805,10.04283839,2.05e-10,1.31e-9,13.8560916999999
NAIP,6.074909977,4.504903757,7.933800047,2.14e-8,8.36e-8,9.39153885
FAM157C,6.043034775,0.950137067,4.351464275,1.87858e-4,3.40909e-4,0.762075984
ACPP,6.023855654,2.163284769,5.645178884,6.29e-6,1.45999999999999e-5,3.94135558
FCGR2C,6.01374503299999,2.356648897,3.84125346899999,7.1117e-4,0.001178451,-0.56717457
NAPSB,5.995086204,4.888101741,2.710276703,0.011774362,0.01622949,-3.472171097
HELB,5.95289979399999,2.076551359,5.796284821,4.25e-6,1.01999999999999e-5,4.318217091
