hgnc_id,hgnc_symbol,hgnc_synonyms,hgnc_name,ensembl_id,entrez_id
HGNC:19679,AAK1,"KIAA1048, DKFZP686K16132",AP2 associated kinase 1,ENSG00000115977,22848
HGNC:59,ABCC8,"PHHI, SUR1, ABC36, HHF1, TNDM2, SUR, HRINS",ATP binding cassette subfamily C member 8,ENSG00000006071,6833
HGNC:28756,ABHD17A,"MGC5244, C19ORF27, FAM108A1","abhydrolase domain containing 17A, depalmitoylase",ENSG00000129968,81926
HGNC:24278,ABHD17B,"CGI-67, C9ORF77, FAM108B1","abhydrolase domain containing 17B, depalmitoylase",ENSG00000107362,51104
HGNC:26925,ABHD17C,FAM108C1,"abhydrolase domain containing 17C, depalmitoylase",ENSG00000136379,58489
HGNC:21398,ABHD6,NA,"abhydrolase domain containing 6, acylglycerol lipase",ENSG00000163686,57406
HGNC:11320,ABI1,"E3B1, ABI-1, SSH3BP1",abl interactor 1,ENSG00000136754,10006
HGNC:24011,ABI2,"ABI-2, AIP-1, ABI2B, ABLBP3, ARGBPIA, SSH3BP2",abl interactor 2,ENSG00000138443,10152
HGNC:29859,ABI3,"NESH, SSH3BP3",ABI family member 3,ENSG00000108798,51225
HGNC:76,ABL1,"JTK7, C-ABL","ABL proto-oncogene 1, non-receptor tyrosine kinase",ENSG00000097007,25
HGNC:77,ABL2,ABLL,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ENSG00000143322,27
HGNC:78,ABLIM1,"ABLIM, LIMATIN, LIMAB1",actin binding LIM protein 1,ENSG00000099204,3983
HGNC:29132,ABLIM3,KIAA0843,actin binding LIM protein family member 3,ENSG00000173210,22885
HGNC:81,ABR,MDB,ABR activator of RhoGEF and GTPase,ENSG00000159842,29
HGNC:319,ACAN,"CSPGCP, CSPG1",aggrecan,ENSG00000157766,176
HGNC:108,ACHE,YT,acetylcholinesterase (Yt blood group),ENSG00000087085,43
HGNC:14376,ACP4,ACPT,acid phosphatase 4,ENSG00000142513,93650
HGNC:132,ACTB,NA,actin beta,ENSG00000075624,60
HGNC:17780,ACTBL2,DKFZP686D0972,actin beta like 2,ENSG00000169067,345651
HGNC:143,ACTC1,"CMD1R, ACTC",actin alpha cardiac muscle 1,ENSG00000159251,70
HGNC:144,ACTG1,"ACTG, DFNA20, DFNA26",actin gamma 1,ENSG00000184009,71
HGNC:163,ACTN1,NA,actinin alpha 1,ENSG00000072110,87
HGNC:164,ACTN2,NA,actinin alpha 2,ENSG00000077522,88
HGNC:166,ACTN4,FSGS1,actinin alpha 4,ENSG00000130402,81
HGNC:169,ACTR2,NA,actin related protein 2,ENSG00000138071,10097
HGNC:170,ACTR3,NA,actin related protein 3,ENSG00000115091,10096
HGNC:188,ADAM10,"KUZ, HST18717, CD156C",ADAM metallopeptidase domain 10,ENSG00000137845,102
HGNC:201,ADAM22,MDC2,ADAM metallopeptidase domain 22,ENSG00000008277,53616
HGNC:202,ADAM23,MDC3,ADAM metallopeptidase domain 23,ENSG00000114948,8745
HGNC:232,ADCY1,DFNB44,adenylate cyclase 1,ENSG00000164742,107
HGNC:239,ADCY8,"HBAC1, AC8",adenylate cyclase 8,ENSG00000155897,114
HGNC:241,ADCYAP1,NA,adenylate cyclase activating polypeptide 1,ENSG00000141433,116
HGNC:243,ADD1,NA,adducin 1,ENSG00000087274,118
HGNC:244,ADD2,ADDB,adducin 2,ENSG00000075340,119
HGNC:13838,ADGRA1,"KIAA1828, GPR123",adhesion G protein-coupled receptor A1,ENSG00000197177,84435
HGNC:943,ADGRB1,BAI1,adhesion G protein-coupled receptor B1,ENSG00000181790,575
HGNC:944,ADGRB2,BAI2,adhesion G protein-coupled receptor B2,ENSG00000121753,576
HGNC:945,ADGRB3,"KIAA0550, BAI3",adhesion G protein-coupled receptor B3,ENSG00000135298,577
HGNC:20973,ADGRL1,"KIAA0821, CIRL1, LEC2, LPHN1",adhesion G protein-coupled receptor L1,ENSG00000072071,22859
HGNC:18582,ADGRL2,"KIAA0786, LEC1, CIRL2, LPHH1, LPHN2",adhesion G protein-coupled receptor L2,ENSG00000117114,23266
HGNC:20974,ADGRL3,"KIAA0768, LEC3, LPHN3",adhesion G protein-coupled receptor L3,ENSG00000150471,23284
HGNC:262,ADORA1,RDC7,adenosine A1 receptor,ENSG00000163485,134
HGNC:263,ADORA2A,"RDC8, ADORA2",adenosine A2a receptor,ENSG00000128271,135
HGNC:264,ADORA2B,NA,adenosine A2b receptor,ENSG00000170425,136
HGNC:268,ADORA3,A3AR,adenosine A3 receptor,ENSG00000282608,140
HGNC:277,ADRA1A,"ADRA1L1, ADRA1C",adrenoceptor alpha 1A,ENSG00000120907,148
HGNC:281,ADRA2A,"ADRAR, ADRA2, ADRA2R",adrenoceptor alpha 2A,ENSG00000150594,150
HGNC:283,ADRA2C,"ADRARL2, ADRA2L2, ADRA2RL2",adrenoceptor alpha 2C,ENSG00000184160,152
HGNC:285,ADRB1,ADRB1R,adrenoceptor beta 1,ENSG00000043591,153
HGNC:286,ADRB2,"ADRBR, B2AR, ARB2, ADRB2R",adrenoceptor beta 2,ENSG00000169252,154
