hgnc_symbol,gene_ensemble,chr,gene_start,gene_end
A2M,ENSG00000175899,12,9067664,9116229
AANAT,ENSG00000129673,17,76453351,76470117
ABCA1,ENSG00000165029,9,104781006,104928155
ABCB4,ENSG00000005471,7,87401696,87480435
ABCC4,ENSG00000125257,13,95019835,95301475
ABHD15,ENSG00000168792,17,29560547,29567037
ABI3,ENSG00000108798,17,49210411,49223225
ACKR2,ENSG00000144648,3,42804752,42887974
ACRBP,ENSG00000111644,12,6638075,6647433
ACSM5,ENSG00000183549,16,20409534,20441336
ADAM28,ENSG00000042980,8,24294069,24359014
ADAMTSL4,ENSG00000143382,1,150549369,150560937
ADAMTSL4-AS1,ENSG00000203804,1,150560202,150562115
ADAP2,ENSG00000184060,17,30906344,30959322
ADCY7,ENSG00000121281,16,50246137,50318135
ADGRE2,ENSG00000127507,19,14732392,14778560
ADGRG5,ENSG00000159618,16,57542643,57591681
ADORA3,ENSG00000282608,1,111499429,111503633
ADPGK,ENSG00000159322,15,72751294,72785846
ADPGK-AS1,ENSG00000260898,15,72782835,72798199
ADPRH,ENSG00000144843,3,119579268,119589945
ADRB2,ENSG00000169252,5,148826611,148828623
AGAP5,ENSG00000172650,10,73674287,73698109
ALOX5,ENSG00000012779,10,45374176,45446119
ALOX5AP,ENSG00000132965,13,30713478,30764426
ALPK1,ENSG00000073331,4,112285509,112442621
ANG,ENSG00000214274,14,20684177,20698971
ANKRD18DP,ENSG00000226435,3,198053522,198080512
ANKRD18DP,ENSG00000291192,3,198057531,198080754
ANKRD22,ENSG00000152766,10,88819896,88851844
ANKRD36BP1,ENSG00000214262,1,168245788,168247204
ANKRD36BP1,ENSG00000293109,1,168245565,168247343
ANKRD44,ENSG00000065413,2,196967017,197311173
ANKRD44-IT1,ENSG00000236977,2,197250858,197302519
ANXA2R,ENSG00000177721,5,43039233,43043170
AOAH,ENSG00000136250,7,36512941,36724549
APBB1IP,ENSG00000077420,10,26438341,26567803
APOBEC3C,ENSG00000244509,22,39014257,39020352
APOBEC3F,ENSG00000128394,22,39040604,39055972
APOBEC3G,ENSG00000239713,22,39077067,39087743
APOBR,ENSG00000184730,16,28494643,28498964
ARHGAP15,ENSG00000075884,2,143091362,143768352
ARHGAP25,ENSG00000163219,2,68679601,68826833
ARHGAP27,ENSG00000159314,17,45393902,45434421
ARHGAP30,ENSG00000186517,1,161046946,161069970
ARHGAP9,ENSG00000123329,12,57472264,57488814
ARID3A,ENSG00000116017,19,925781,975939
ARL11,ENSG00000152213,13,49628507,49633872
ARL5C,ENSG00000141748,17,39156894,39167484
ARRDC5,ENSG00000205784,19,4890437,4902896
ASGR2,ENSG00000161944,17,7101322,7115700
ASXL2,ENSG00000143970,2,25733753,25878487
ATM,ENSG00000149311,11,108222823,108369102
ATP8B4,ENSG00000104043,15,49858238,50182817
