hgnc_symbol,gene_ensemble,chr,gene_start,gene_end
FGR,ENSG00000000938,1,27612064,27635185
TMEM176A,ENSG00000002933,7,150800403,150805118
CASP10,ENSG00000003400,2,201182872,201229428
CALCR,ENSG00000004948,7,93424486,93574730
ABCB4,ENSG00000005471,7,87401696,87480435
ITGAL,ENSG00000005844,16,30472658,30523567
MAP3K14,ENSG00000006062,17,45263119,45317029
TNFRSF12A,ENSG00000006327,16,3018445,3022383
ALDH3B1,ENSG00000006534,11,68008578,68029282
SCIN,ENSG00000006747,7,12570577,12660182
CEACAM21,ENSG00000007129,19,41549518,41586844
DLEC1,ENSG00000008226,3,38039205,38124025
PLEKHG6,ENSG00000008323,12,6310436,6328506
TRAF3IP3,ENSG00000009790,1,209756032,209782320
MLXIPL,ENSG00000009950,7,73593194,73624543
STAB1,ENSG00000010327,3,52495338,52524495
CD4,ENSG00000010610,12,6786858,6820799
HFE,ENSG00000010704,6,26087281,26098343
MRC2,ENSG00000011028,17,62627670,62693597
PLAUR,ENSG00000011422,19,43646095,43670547
TYROBP,ENSG00000011600,19,35904401,35908295
LTF,ENSG00000012223,3,46435645,46485234
ALOX5,ENSG00000012779,10,45374176,45446119
ACP3,ENSG00000014257,3,132317369,132368302
SLC11A1,ENSG00000018280,2,218382029,218396894
MARCO,ENSG00000019169,2,118942194,118994660
CD74,ENSG00000019582,5,150401637,150412969
RUNX3,ENSG00000020633,1,24899511,24965121
SERPINB1,ENSG00000021355,6,2832332,2841959
DEF6,ENSG00000023892,6,35297818,35321771
TYMP,ENSG00000025708,22,50525752,50530032
RNASET2,ENSG00000026297,6,166922113,166957191
PRKCH,ENSG00000027075,14,61187559,61550976
IFNGR1,ENSG00000027697,6,137197483,137219449
TNFRSF1B,ENSG00000028137,1,12166991,12209228
POU2F2,ENSG00000028277,19,42086110,42196585
GRN,ENSG00000030582,17,44345246,44353106
SLC18A1,ENSG00000036565,8,20144855,20183206
MSR1,ENSG00000038945,8,16107878,16567490
CAPG,ENSG00000042493,2,85394753,85418432
ADAM28,ENSG00000042980,8,24294069,24359014
LCP2,ENSG00000043462,5,170246233,170297815
CYBA,ENSG00000051523,16,88643275,88651083
KCNQ1,ENSG00000053918,11,2444654,2849105
LY75,ENSG00000054219,2,159803355,159904756
RELT,ENSG00000054967,11,73376399,73397474
PRDM1,ENSG00000057657,6,105993463,106109939
TBXAS1,ENSG00000059377,7,139777051,140020325
PARP12,ENSG00000059378,7,140023749,140062951
GNA15,ENSG00000060558,19,3136033,3163749
CASP8,ENSG00000064012,2,201233443,201361836
TSPAN32,ENSG00000064201,11,2301997,2318204
LPAR2,ENSG00000064547,19,19623655,19628930
SBNO2,ENSG00000064932,19,1107637,1174268
ANKRD44,ENSG00000065413,2,196967017,197311173
MTHFD2,ENSG00000065911,2,74186172,74217565
CD84,ENSG00000066294,1,160541095,160579516
SPI1,ENSG00000066336,11,47354860,47409369
STAG3,ENSG00000066923,7,100177563,100214387
SP100,ENSG00000067066,2,230415942,230545606
TNFRSF1A,ENSG00000067182,12,6328757,6342114
RASSF1,ENSG00000068028,3,50329782,50340980
TTC7A,ENSG00000068724,2,46915869,47076137
CLEC2D,ENSG00000069493,12,9664969,9699553
DAPP1,ENSG00000070190,4,99816827,99870190
VASH1,ENSG00000071246,14,76761468,76783015
PTPN18,ENSG00000072135,2,130356045,130375405
FCGR2B,ENSG00000072694,1,161663143,161678654
STK10,ENSG00000072786,5,172042079,172188224
ALPK1,ENSG00000073331,4,112285509,112442621
DHRS9,ENSG00000073737,2,169064789,169096167
CD5L,ENSG00000073754,1,157830911,157898256
ST6GAL1,ENSG00000073849,3,186930325,187078553
ATP2A3,ENSG00000074370,17,3923870,3964464
SCARF1,ENSG00000074660,17,1633858,1645744
ARHGAP15,ENSG00000075884,2,143091362,143768352
ARHGEF1,ENSG00000076928,19,41883173,41930150
STXBP2,ENSG00000076944,19,7636772,7647873
NFKB2,ENSG00000077150,10,102394110,102402524
IL4R,ENSG00000077238,16,27313668,27364778
APBB1IP,ENSG00000077420,10,26438341,26567803
LRCH4,ENSG00000077454,7,100574011,100586129
LAMP3,ENSG00000078081,3,183122215,183163839
FGF20,ENSG00000078579,8,16992181,17002345
SP140,ENSG00000079263,2,230203110,230313215
MKNK1,ENSG00000079277,1,46557407,46616843
CEACAM1,ENSG00000079385,19,42507304,42561234
DDX43,ENSG00000080007,6,73394828,73417566
PTPRC,ENSG00000081237,1,198638457,198757476
FYB1,ENSG00000082074,5,39105252,39274528
FCN1,ENSG00000085265,9,134903232,134917912
PILRA,ENSG00000085514,7,100367530,100400096
B4GALT1,ENSG00000086062,9,33104082,33167356
LAT2,ENSG00000086730,7,74199652,74229834
